,authors,publicationNumber,publicationDate,articleNumber,articleTitle,downloadCount,abstract,articleContentType,authorsAffilationCountry,extracted_class
0,"[{'preferredName': 'Md. Shake Farid Uddin', 'normalizedName': 'M. S. Farid Uddin', 'firstName': 'Md. Shake', 'lastName': 'Farid Uddin', 'searchablePreferredName': 'Md. Shake Farid Uddin', 'id': 713732965812130}, {'preferredName': 'Md. Tanziar Rahman', 'normalizedName': 'M. Tanziar Rahman', 'firstName': 'Md.', 'lastName': 'Tanziar Rahman', 'searchablePreferredName': 'Md. Tanziar Rahman', 'id': 37087407232}, {'preferredName': 'Mosaddek Adnan Sikder', 'normalizedName': 'M. A. Sikder', 'firstName': 'Mosaddek Adnan', 'lastName': 'Sikder', 'searchablePreferredName': 'Mosaddek Adnan Sikder', 'id': 291135624609140}]",10440723,13-15 Dec. 2023,10441199,Analysis of SARGable Queries for Query Optimization in Relational Database,14,Being lived in the era of the 4th Industrial Revolution where software plays a pivotal role in almost every aspect of our life. The accomplishment of any software application relies on the Database system which is responsible for storing and retrieving information related to that software. Relational Database systems are based on relational techniques and use the principle of Structured [::Query::...,Conferences,"['BGD', 'BGD', 'BGD']",MEDI
1,"[{'preferredName': 'Khin Myat Kyu', 'normalizedName': 'K. M. Kyu', 'firstName': 'Khin Myat', 'lastName': 'Kyu', 'searchablePreferredName': 'Khin Myat Kyu', 'id': 37087112797}, {'preferredName': 'Aung Nway Oo', 'normalizedName': 'A. N. Oo', 'firstName': 'Aung Nway', 'lastName': 'Oo', 'searchablePreferredName': 'Aung Nway Oo', 'id': 37087111264}]",9261768,4-5 Nov. 2020,9261805,Enhancement of Query Execution Time in SPARQL Query Processing,143,"During couples of decades, the popularity of Semantic Web is increased in both academic and industry. RDF is a data model standardized by W3C for the Semantic Web and a [::query::] language used for retrieving the RDF data is SPARQL [::query::]. Most of the real-world applications has widely used RDF as a standardized data format, so that efficient data storage and [::query::] processing technique...",Conferences,"['MMR', 'MMR']",MEDI
2,"[{'preferredName': 'Madhuri A. Potey', 'normalizedName': 'M. A. Potey', 'firstName': 'Madhuri A.', 'lastName': 'Potey', 'searchablePreferredName': 'Madhuri A. Potey', 'id': 38490767400}, {'preferredName': 'Dhanashri A. Patel', 'normalizedName': 'D. A. Patel', 'firstName': 'Dhanashri A.', 'lastName': 'Patel', 'searchablePreferredName': 'Dhanashri A. Patel', 'id': 38667379600}, {'preferredName': 'P. K. Sinha', 'normalizedName': 'P. K. Sinha', 'firstName': 'P. K.', 'lastName': 'Sinha', 'searchablePreferredName': 'P. K. Sinha', 'id': 37591066000}]",6495610,22-23 Feb. 2013,6514421,A survey of query log processing techniques and evaluation of web query intent identification,503,"[::Query::] log is the pouch of valuable information that records user&#39;s search [::queries::] and related actions on the internet. By mining the recorded information, it is possible to exploit the user&#39;s underlying goals, preferences, interests, search behaviors and implicit feedback. The wealth of mined information can be used in many applications such as [::query::] log analysis, [::query::] rec...",Conferences,"['IOT', 'IOT', 'IOT']",MEDI
3,"[{'preferredName': 'Xiaoyi Zhou', 'normalizedName': 'X. Zhou', 'firstName': 'Xiaoyi', 'lastName': 'Zhou', 'searchablePreferredName': 'Xiaoyi Zhou', 'id': 37086317506}, {'preferredName': 'Jie Luo', 'normalizedName': 'J. Luo', 'firstName': 'Jie', 'lastName': 'Luo', 'searchablePreferredName': 'Jie Luo', 'id': 37073944700}, {'preferredName': 'Tao He', 'normalizedName': 'T. He', 'firstName': 'Tao', 'lastName': 'He', 'searchablePreferredName': 'Tao He', 'id': 37086315615}]",8272882,9-10 Dec. 2017,8283258,Multi-query Optimization via Common Sub Query Elimination for SPARQL,144,"As the main [::query::] language on RDF data, SPARQL constantly drawing attention from the Semantic Web communities. In this paper we present a mechanism that can identify common sub [::queries::] in multiple RDF [::queries::] and eliminate redundant sub [::queries::], significantly improving the efficiency of executing multiple RDF [::queries::], both simultaneously and sequentially. Unlike previ...",Conferences,"['CHN', 'CHN', 'CHN']",MEDI
4,"[{'preferredName': 'Jessie Ooi', 'normalizedName': 'J. Ooi', 'firstName': 'Jessie', 'lastName': 'Ooi', 'searchablePreferredName': 'Jessie Ooi', 'id': 37085647966}, {'preferredName': 'Xiuqin Ma', 'normalizedName': 'Xiuqin Ma', 'lastName': 'Xiuqin Ma', 'searchablePreferredName': 'Xiuqin Ma', 'id': 37087478803}, {'preferredName': 'Hongwu Qin', 'normalizedName': 'Hongwu Qin', 'lastName': 'Hongwu Qin', 'searchablePreferredName': 'Hongwu Qin', 'id': 37087478933}, {'preferredName': 'Siau Chuin Liew', 'normalizedName': 'S. C. Liew', 'firstName': 'Siau Chuin', 'lastName': 'Liew', 'searchablePreferredName': 'Siau Chuin Liew', 'id': 38667357900}]",7322100,19-21 Aug. 2015,7333094,"A survey of query expansion, query suggestion and query refinement techniques",777,"The ineffectiveness of information retrieval systems often caused by the inaccurate use of keywords in a [::query::]. In order to solve the ineffectiveness problem in information retrieval systems, many solutions have been proposed over the years. The most common techniques are revolving around [::query::] modification techniques such as [::query::] expansion, [::query::] refinement, etc. Due to t...",Conferences,"['MYS', 'MYS', 'MMR', 'MYS']",MEDI
5,"[{'preferredName': 'Ziyang Liao', 'normalizedName': 'Z. Liao', 'firstName': 'Ziyang', 'lastName': 'Liao', 'searchablePreferredName': 'Ziyang Liao', 'id': 37087100094}, {'preferredName': 'Keishi Tajima', 'normalizedName': 'K. Tajima', 'firstName': 'Keishi', 'lastName': 'Tajima', 'searchablePreferredName': 'Keishi Tajima', 'id': 37291289500}]",8904043,14-17 Oct. 2019,8909632,Disjunctive Sets of Phrase Queries for Diverse Query Suggestion,55,"This paper proposes a method of suggesting expanded [::queries::] that disambiguate the original Web [::query::] which has multiple interpretations. In order to produce a diverse set of [::queries::] including those corresponding to infrequent [::query::] intents, our method produces [::queries::] by extracting phrases connecting given [::query::] terms from a corpus. We use a corpus because infre...",Conferences,"['JPN', 'JPN']",MEDI
6,"[{'preferredName': 'Chandan Sharma', 'normalizedName': 'C. Sharma', 'firstName': 'Chandan', 'lastName': 'Sharma', 'searchablePreferredName': 'Chandan Sharma', 'id': 37087407959}]",9285973,21-25 Sept. 2020,9286038,FLUX: From SQL to GQL query translation tool,304,With the influx of Web 3.0 the focus in Big Data Analytics has shifted towards modelling highly interconnected data and analysing relationships between them. Graph databases befit the requirements of Big Data Analytics yet organizations still depend on relational databases. A major roadblock in the industry wide adoption of graph databases is that a standard [::query::] language is still in its in...,Conferences,['NZL'],MEDI
7,"[{'preferredName': 'Xingyu Peng', 'normalizedName': 'X. Peng', 'firstName': 'Xingyu', 'lastName': 'Peng', 'searchablePreferredName': 'Xingyu Peng', 'id': 37089207711}, {'preferredName': 'Ying Pan', 'normalizedName': 'Y. Pan', 'firstName': 'Ying', 'lastName': 'Pan', 'searchablePreferredName': 'Ying Pan', 'id': 37089208953}]",9644301,11-13 June 2021,9644500,Distributed dynamic semantic query and reasoning for graph data,142,"With the massive increase of graph data such as RDF and knowledge graphs, how to effectively improve the [::query::] efficiency of massive graph data has become a research hotspot in graph data management. However, most of the existing graph [::query::] research has the problem of lack of support for dynamic data [::query::], and usually requires a high upfront cost to semantically integrate the d...",Conferences,"['CHN', 'CHN']",MEDI
8,"[{'preferredName': 'Bolong Zheng', 'normalizedName': 'B. Zheng', 'firstName': 'Bolong', 'lastName': 'Zheng', 'searchablePreferredName': 'Bolong Zheng', 'id': 37085364043}, {'preferredName': 'Kai Zheng', 'normalizedName': 'K. Zheng', 'firstName': 'Kai', 'lastName': 'Zheng', 'searchablePreferredName': 'Kai Zheng', 'id': 38252427300}, {'preferredName': 'Christian S. Jensen', 'normalizedName': 'C. S. Jensen', 'firstName': 'Christian S.', 'lastName': 'Jensen', 'searchablePreferredName': 'Christian S. Jensen', 'id': 37339194000}, {'preferredName': 'Nguyen Quoc Viet Hung', 'normalizedName': 'N. Q. V. Hung', 'firstName': 'Nguyen Quoc Viet', 'lastName': 'Hung', 'searchablePreferredName': 'Nguyen Quoc Viet Hung', 'id': 37834828000}, {'preferredName': 'Han Su', 'normalizedName': 'H. Su', 'firstName': 'Han', 'lastName': 'Su', 'searchablePreferredName': 'Han Su', 'id': 37085373924}, {'preferredName': 'Guohui Li', 'normalizedName': 'G. Li', 'firstName': 'Guohui', 'lastName': 'Li', 'searchablePreferredName': 'Guohui Li', 'id': 37405545800}, {'preferredName': 'Xiaofang Zhou', 'normalizedName': 'X. Zhou', 'firstName': 'Xiaofang', 'lastName': 'Zhou', 'searchablePreferredName': 'Xiaofang Zhou', 'id': 37280490500}]",8725877,8-11 April 2019,8731602,Answering Why-Not Group Spatial Keyword Queries (Extended Abstract),227,"With the proliferation of geo-textual objects on the web, extensive efforts have been devoted to improving the efficiency of top-k spatial keyword [::queries::] in different settings. However, comparatively much less work has been reported on enhancing the quality and usability of such [::queries::]. In this context, we propose means of enhancing the usability of a top-k group spatial keyword [::q...",Conferences,"['CHN', 'CHN', 'DNK', 'AUS', 'CHN', 'CHN', 'CHN']",MEDI
9,"[{'preferredName': 'Diya Thomas', 'normalizedName': 'D. Thomas', 'firstName': 'Diya', 'lastName': 'Thomas', 'searchablePreferredName': 'Diya Thomas', 'id': 38476663600}]",6305052,9-11 Aug. 2012,6305549,Location Dependent Query Processing in Mobile Environment,358,"With advancement in Location Based Service and GPS enabled mobile devices, different types of [::queries::] to obtain location based information exist in mobile environment. Location based [::queries::] or spatial [::queries::] are the backbone of Location Based Services. LBS is gaining more popularity in today&#39;s world, as they enable the mobile users to obtain location information or location bas...",Conferences,[None],MEDI
